职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
大数据开发工程师,武汉,软通动力信息技术(集团)股份有限公司,本科,5-10年,数据云服务研发,13000-18000,1、负责自动驾驶车端大规模数据的采集及处理，包括多传感器的数据清洗、标签抽取、特征融合等模块的设计与开发。2、为自动驾驶数据设计合理的数仓分层结构，构建合规、合理的数据存储体系，实现数据的高效流转与应用。3、开发自动驾驶云平台各功能模块，采用微服务架构，全程参与产品开发，提升研发、运营、管理的使用体验。4、持续优化数据质量和效率，提供面向算法的各类数据服务/平台，推动数据驱动模型改善和整体自动驾驶...,互联网,http://jobs.zhaopin.com/CC000544460J40786153716.htm,10000人以上,2026-01-08 10:42:30,13000.0,18000.0,12.0
大数据中级工程师,武汉,华信永道,本科,3-5年,"Flink,Spark,数据架构,数据仓库,数据挖掘",13000-18000,岗位职责：1.负责使用开源组件或商用数据平台工具设计并实现大数据应用体系架构。包括但不限于组件选型、接口设计、应用架构设计和测试、应用开发等；2.参与业务数仓需求调研分析，全建模过程，并负责落地；3.参与规划和建设大数据基础平台；4.技术文件编写；5.现场实施大数据平台、数仓和应用；任职要求：1.计算机相关专业优先，四年以上大数据领域开发经验；2.有作为重要贡献人设计和实施大数据平台的经历；3.熟...,计算机软件,http://jobs.zhaopin.com/CC214592910J40784981816.htm,500-999人,2026-01-04 10:10:28,13000.0,18000.0,12.0
数据仓库（新旅行）,武汉,中国旅游集团旅行服务有限公司,本科,3-5年,"数仓开发,Hadoop",12000-18000,岗位职责1、理解业务数据使用场景，协助产出数据建设方案；监控运营情况和业务痛点，从数据出发，向业务提出相应的优化建议和新的技术实现方案；2、支持日常数据需求和报表设计开发，结合业务设计开发主题报表；根据需求和数仓建设方向，持续推进数据源引入和清洗、数据模型建设、数据集市建设等工作；3、建设并维护数据指标体系，建立与业务指标分析相关基础数据服务；5、保障数据报表和数据服务产出的稳定性、时效性和准确性...,旅游服务,http://jobs.zhaopin.com/CC120719410J40913356815.htm,500-999人,2025-12-30 09:19:57,12000.0,18000.0,12.0
数据分析工程师,武汉,软通动力信息技术(集团)股份有限公司,大专,3-5年,"数据分析,ADAS,自动驾驶",10000-18000,工作职责：1.负责自动驾驶感知、环境模型、规控研发及售后问题的分析、聚类、导入；2.负责感知、环境模型、规控的评测以及报表分析，保障指标正常；3.负责问题的仿真、回灌，确认问题解决率。任职要求：1.大专以上学历，对ADAS系统熟悉2.熟悉使用linux操作系统，熟练使用git3.具备一定的编程基础，熟练使用python编写自动化测试脚本4.具备一定的数据分析能力，组织编写文档5.有量产智能驾驶系统...,互联网,http://jobs.zhaopin.com/CC000544460J40786154116.htm,10000人以上,2026-01-08 09:57:41,10000.0,18000.0,12.0
大数据开发工程师,武汉,博科国信（武汉）科技有限公司,本科,经验不限,"湖仓一体,大数据集群,ICEBERG,PAIMON,HUDI",12000-18000,职位描述：(1) 负责医疗数据场景湖仓一体数据框架的搭建与维护工作。（2）负责公司数据治理平台数据框架的研发工作。（3）参与全生命周期的数据治理工作。（4）参与元数据管理、数据血缘、数据质量、数据标准等数据治理方案的落地工作。任职要求（1）本科及以上学历，计算机、数学、通信等相关专业。（2）熟悉Java、Python语言，在大数据计算和存储相关领域有3年以上的研发经验，并有大规模落地应用者优先。（...,在线医疗,http://jobs.zhaopin.com/CC467559980J40812601707.htm,100-299人,2025-12-25 00:10:42,12000.0,18000.0,12.0
实时数据开发工程师,武汉,北京云语奇点科技有限公司,本科,3-5年,"数据挖掘,数据建模,ETL",10000-18000,任职要求 1. 有3年以上金融数据开发相关经验；2. 熟练使用FlinkSQL，熟悉Flink、ClickHouse、Kafka、Hadoop等大数据技术，了解其基本原理；3. 熟悉Java、Scala、Python等开发语言中的一种或几种；4. 扎实的Linux基础，熟悉常用命令并能够编写shell脚本；5. 具备实时数仓或离线数仓搭建经验；6. 责任心强，具有良好的团队合作精神。岗位职责1. ...,计算机软件,http://jobs.zhaopin.com/CCL1512875130J40811388611.htm,300-499人,2025-12-02 23:49:33,10000.0,18000.0,12.0
大数据开发工程师,武汉,华信永道,本科,5-10年,"数据仓库,数据库开发",13000-18000,岗位职责：1.负责使用开源组件或商用数据平台工具设计并实现大数据应用体系架构。包括但不限于组件选型、接口设计、应用架2.构设计和测试、应用开发等；3.参与业务数仓需求调研分析，全建模过程，并负责落地；4.参与规划和建设大数据基础平台；5.技术文件编写；6.现场实施大数据平台、数仓和应用；任职要求：1.统招本科及以上学历（硬性要求），计算机相关专业优先，5年以上大数据领域开发经验；2.有作为重要贡献...,计算机软件,http://jobs.zhaopin.com/CC214592910J40774285916.htm,500-999人,2025-11-17 15:03:47,13000.0,18000.0,12.0
数据分析师,武汉,湖北某水务科技有限公司,本科,3-5年,"数据挖掘,数据治理",10000-18000,岗位职责：1.数据采集与清洗：获取行业相关数据，处理海量数据的采集、清洗与存储。2.大数据处理：使用大数据技术（如Hadoop、Spark等）进行数据的分析与建模，构建数据仓库，优化数据流转。3.ETL开发与维护：设计和优化ETL流程，确保数据从源头到分析的完整性和准确性。4.数据分析与挖掘：基于业务需求，运用机器学习/深度学习算法，进行数据建模、预测和挖掘，输出数据驱动的业务决策建议。5.数据可...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CCL1216489020J40800868709.htm,100-299人,2025-10-30 09:35:13,10000.0,18000.0,12.0
2026届校招数据治理与数据分析工程师,武汉,中交第二公路勘察设计研究院有限公司,硕士,无经验,"数据挖掘,数据建模,数据治理",,工作职责： 1. 负责企业级数据治理体系建设，包括数据标准制定、元数据管理、数据质量监控等；2. 设计并实施数据资产管理方案，构建数据血缘图谱和分类分级体系；3. 开发数据分析模型，通过数据挖掘发现业务洞察，支持决策优化；4. 搭建数据质量评估体系，建立数据质量规则库和修复流程；5. 制定数据安全合规策略，满足GDPR等数据监管要求。 任职资格： 1. 2026届知名院校毕业的硕士研究生或博士研究...,政府/公共事业,http://jobs.zhaopin.com/CC175993010J40801003709.htm,1000-9999人,2025-10-22 17:16:35,,,
行业数据分析师（海尔直播电商）,武汉,重庆海尔家电销售有限公司,本科,3-5年,"Python,R语言,Sql",,1、数据监控与洞察：①跟踪行业趋势（如平台流量规则变化、竞品直播策略），分析用户画像、消费行为及转化路径；②监控行业直播数据指标（如在线人数峰值、互动率、退货率），识别异常波动并提出优化建议；2、分析报告输出：①定期输出行业分析报告（如品类销售趋势、用户留存分析），为选品、直播排期提供依据；②结合外部数据（如第三方行业报告、竞品数据），提炼竞争策略；3、数据驱动优化：①通过A/B测试验证直播话术、...,耐用消费品,http://jobs.zhaopin.com/CC358862320J40768779714.htm,10000人以上,2025-07-04 15:19:24,,,
数据开发工程师（flink熟练）,武汉,外企德科数字技术有限公司,本科,3-5年,"数据库开发,数据仓库,ETL,Java,Python,Flink",14000-17000,大数据开发工程师岗位职责：1、按时完成数据开发和第三方数据采集任务（部分需要写代码进行采集，Java、python均可），确保结果的准确性、稳定性；2、负责报表、数据表的日常运维；3、遵循编码规范，做好开发自测，保障代码质量和系统稳定性；4、编写相关技术文档，如指标文档、模型设计文档等；5、与项目团队紧密合作，确保项目按时高质量上线；6、开发过程中积极主动，不等待不拖延。任职要求：1、熟练使用Fl...,专业技术服务,http://jobs.zhaopin.com/CCL1480117890J40834941305.htm,1000-9999人,2026-01-11 00:26:56,14000.0,17000.0,12.0
