职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
金属3d打印现场工程师（关节）,北京,大博医疗,大专,5-10年,"新品导入（NPI）,工艺设计,工艺改良,关节,骨科,金属3D打印",18000-30000,岗位职责：1. 量产技转：配合研发完成激光金属3d打印量产前技术、工序要求确认、流程优化等工作；2. 设备维护：制定量产设备预防性维护计划并组织执行，快速诊断故障指导人员维修，管理备件库存，优化设备性能与可靠性。 3. 生产支持：快速解决激光金属3d打印批产工艺与质量异常，协助量产产线规划及设备导入。跟踪生产现场运行、生产数据收集分析、推动持续的质量提升、降本增效。4. 人员培训：定期给操作人员培...,医疗设备/器械,http://jobs.zhaopin.com/CC203711210J40882421615.htm,1000-9999人,2025-08-26 13:07:50,18000.0,30000.0,13.0
工艺工程师(J10792),北京,北方华创,本科,3-5年,"外延工艺,镀膜工艺,RTP,ALD",16000-30000,岗位职责:岗位职责：1、负责RPT、外延、ALD系列产品工艺设计、研发及测试装调。2、负责解决当前产品的工艺技术难题，推进研发周期。3、负责当前工艺工程师培训及指导。任职要求:任职资格要求：1、具备RPT、外延、ALD系列机台工作经验。2、主导过或者研发过机台的研发和调试，具备较强的工艺功底。3、半导体行业工作3年以上。4、本科及以上学历，材料相关专业。特别优秀者可放宽要求。,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135196350J40818111612.htm,1000-9999人,2025-08-20 21:37:21,16000.0,30000.0,14.0
CE-社招,北京,北方集成电路技术创新中心(北京)有限公司,硕士,3-5年,,18000-30000,职责描述： 作为客户的技术接口，协调各方资源，提供专业的技术支持。 1、协助客户选择IP和PDK，并提供IP成熟度评估； 2、指导客户使用IO/IP，PDK，power分析，仿真分析，产品设计sign off把关（DRC/LVS）；其他IC design咨询和指导 3、按照技术团队的要求设计layout，并完成所有器件的testkey设计； 4、MPW和NTO的流片：指导客户填写tapeout表单...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC610005680J40684588505.htm,500-999人,2025-08-18 10:45:21,18000.0,30000.0,16.0
封装工艺工程师,北京,晟芯腾跃(北京)科技有限公司,本科,1-3年,"封装工艺,芯片封装,QFN,BGA,封装设计,AutoCAD",15000-30000,岗位职责：1.负责芯片封装方案设计（如QFN、BGA等），输出封装图纸并与封装厂确认工艺可行性；2.主导封装材料选型（基板、塑封料等），评估热性能和力性能；3.跟踪封装厂生产进度，协调解决封装过程中的异常问题，确保按时交付；4.负责封装样品验收规则制定；5.分析封装失效案例，定位并推动工艺优化；6.与芯片设计工程师协同，优化版图布局以匹配封装要求；7.直接主管或管理团队安排的其它工作任务等。任职资...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC874657060J40766991201.htm,20-99人,2025-08-15 10:25:58,15000.0,30000.0,12.0
化工工艺工程师,北京,慧泽汇工业技术(北京)有限责任公司,本科,1-3年,"研发,设计,制图设计,结构设计,工艺设计,AutoCAD,SolidWorks",16000-30000,岗位职责：1.工艺流程PFD、PID图纸的设计、修改、审核;2.工艺流程的物料衡算、能量核算、动量衡算；3.生产设备选型（含生产主体设备、供辅设备），分析审核供应商提供的图纸、方案;4.设计或审核设备布置图、管道布置图;5.配合施工单位完成设备、管道、仪表、电控系统的安装;岗位要求：1.本科及以上学历，化学工程、化学工程与工艺等专业;2.会用CAD、Aspen、HTRI等制图、化工模拟软件，绘制P...,专用设备制造,http://jobs.zhaopin.com/CCL1503003080J40739259911.htm,20人以下,2025-08-04 16:29:51,16000.0,30000.0,12.0
工艺工程师,北京,北京海望氢能科技有限公司,本科,5-10年,"工艺设计,化工工艺",20000-30000,岗位职责1、工艺包编制：根据实验数据进行工艺计算与流程模拟，确定工艺流程，进行物料衡算与热量衡算，完成工艺包编制，包括PFD与PID、设备数据表、设备一览表、专业条件、操作手册等；2、施工图设计：完成工艺专业的施工图设计文件，提出设备、管材等请购文件。3、技术方案编制：根据客户需求编制技术方案；4、产品或技术开发：以市场需求为导向，开发出满足市场需要的撬装产品；5、安装指导与开车调试：到项目现场或...,新能源,http://jobs.zhaopin.com/CCL1363692650J40496517512.htm,100-299人,2025-07-31 08:45:04,20000.0,30000.0,13.0
工艺系统及设备工程师,北京,中国电建集团北京勘测设计研究院有限公司,硕士,5-10年,"压缩空气储能,熔盐储热",21000-30000,岗位职责： 1.负责压缩空气储能、熔盐储热等工艺系统设计、总图布置、设备选型、以及相关的公辅工程的设计工作； 2.负责系统整体方案设计，熟悉掌握各专业间的接口设计内容并具备专业间设计工作的牵头能力；3.了解储能行业及相关标准法规，有实际参与项目设计、布置经验，能独立完成设计工作。 任职条件：1.硕士及以上学历；2.力学、动力工程机工程热物理；3.拥有扎实的基础理论，熟练掌握工程热物理、流体力学、传...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC675615520J40763706915.htm,1000-9999人,2025-07-29 15:21:17,21000.0,30000.0,12.0
DDP-工艺工程师(J11812),北京,北方华创,硕士,1-3年,"材料工艺设计,金属材料,铝",15000-30000,岗位职责:工艺工程师：1. 对金属材料（铝合金为主，下略）进行性能表征、成分测试与晶粒金相分析；2. 制订测试方案，分析金属材料由于高温/腐蚀所导致的失效模式；3. 结合所使用的环境，分析金属材料/零件的寿命并进行可靠性分析；4.及时反馈工作中发现的硬件问题和工艺及客户提出的新需求，为金属材料优化升级提供方向指引；5.就工作中出现的技术问题，积极与相关人员沟通并协助解决问题；6.参与其他方案的讨论...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC135196350J40802370812.htm,1000-9999人,2025-07-29 13:56:54,15000.0,30000.0,12.0
工艺部经理(J10311),北京,北京索英电气技术股份有限公司,本科,10年以上,"工艺设计,电气设计,装配工艺,电力电子行业",25000-30000,岗位职责:1. 工艺设计与优化 1.1、主导公司PCS产、电池测试产品的生产工艺设计（如PCBA、整机装配、产品测试等），制定标准化工艺流程。 1.2、针对电池系统特性，优化生产环节（如焊接、装配、老化测试），提升良率和效率。 1.3、推动“自动化/智能化工艺升级”（如引入AI质检、AI制造、AI拆图、AI生成SOP），降低人工依赖。2. 生产技术支持 2.1、解决产线技术问题（如PCS的IGBT...,新能源,http://jobs.zhaopin.com/CC130236690J40771442412.htm,300-499人,2025-07-22 15:00:47,25000.0,30000.0,12.0
铝合金成型工艺工程师,北京,北京天兵科技有限公司,本科,3-5年,"材料工艺设计,金属材料,铝,热处理工艺",25000-30000,岗位职责1、前沿跟踪与研究： 跟踪国内外航天领域金属材料（重点聚焦铝合金）挤压成型（特别是热挤压）技术前沿，研究新型挤压工艺（如等温挤压、润滑挤压、精密挤压）、模具技术及仿真优化在火箭大型结构件（如燃料贮箱、箱间段、连接环等）制造中的应用。2、工艺开发与优化： 负责火箭用铝合金大型薄壁/复杂截面结构件的热挤压工艺开发、模具设计支持、工艺参数优化（温度、速度、挤压比）及成形性、组织性能控制研究。3、...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CC873790450J40781347314.htm,500-999人,2025-07-22 13:34:22,25000.0,30000.0,12.0
